tract,Year,City,LACity,Community_Name,SPA,SD,CD,ca_ssd,ca_sad,us_cd,DemogSurvCt,SheltHmisCt,ShelterCountAny,StreetCountAny,totStreetSingAdult,totStreetFamHH,totStreetFamMem,totSafeParkSingAdult,totSafeParkFamHH,totSafeParkFamMem,totCars,totVans,totCampers,totTents,totEncamp,totCarPeople,totVanPeople,totCamperPeople,totTentPeople,totEncampPeople,FamCarHH,FamVanHH,FamCamperHH,FamTentHH,FamEncampHH,FamCarPeople,FamVanPeople,FamCamperPeople,FamTentPeople,FamEncampPeople,IndCarPeople,IndVanPeople,IndCamperPeople,IndTentPeople,IndEncampPeople,totESAdultSingAdult,totESAdultFamHH,totESAdultFamMem,totESYouthSingYouth,totESYouthFamHH,totESYouthFamMem,totESYouthUnaccYouth,totTHAdultSingAdult,totTHAdultFamHH,totTHAdultFamMem,totTHYouthSingYouth,totTHYouthFamHH,totTHYouthFamMem,totTHYouthUnaccYouth,totSHAdultSingAdult,totSHAdultFamHH,totSHAdultFamMem,totSHYouthSingYouth,totSHYouthFamHH,totSHYouthFamMem,totSHYouthUnaccYouth,totUnsheltPeople,totESPeople,totTHPeople,totSHPeople,totSheltPeople,totPeople
208902,2020,Los Angeles,1,Westlake,4,1,1,24,53,34,10,0,0,2,29,0,0,0,0,0,6,9,1,12,5,9.073,15.966,1.421,17.734,8.389,0.377,0.389,0.043,0.153,0.095,1.306,1.482,0.155,0.519,0.331,7.767,14.485,1.266,17.215,8.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.584,0,0,0,0,81.584
208903,2020,Los Angeles,1,Westlake,4,1,1,24,53,34,0,0,2,2,40,0,0,0,0,0,0,1,0,0,4,0,1.774,0,0,6.711,0,0.043,0,0,0.076,0,0.165,0,0,0.265,0,1.609,0,0,6.447,21,1,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.485,41,0,0,41,89.485
208904,2020,Los Angeles,1,Westlake,4,1,1,24,53,34,0,0,0,2,6,0,0,0,0,0,2,12,0,0,0,3.024,21.288,0,0,0,0.126,0.518,0,0,0,0.436,1.975,0,0,0,2.59,19.313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.313,0,0,0,0,30.313
209102,2020,Los Angeles,1,Westlake,4,1,1,24,53,34,0,0,0,3,15,0,0,0,0,0,0,1,1,2,0,0,1.774,1.421,2.956,0,0,0.043,0.043,0.025,0,0,0.165,0.155,0.086,0,0,1.609,1.266,2.869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.151,0,0,0,0,21.151
209103,2020,Los Angeles,1,Westlake,4,1,1,24,53,34,0,0,0,1,1,0,0,0,0,0,0,3,0,0,2,0,5.322,0,0,3.356,0,0.13,0,0,0.038,0,0.494,0,0,0.132,0,4.828,0,0,3.223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.678,0,0,0,0,9.678
209104,2020,Los Angeles,1,Westlake,4,1,1,24,53,34,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1.774,0,0,0,0,0.043,0,0,0,0,0.165,0,0,0,0,1.609,0,0,0,0,0,0,0,0,0,0,8,22,46,0,0,0,0,0,0,0,0,0,0,0,1.774,0,54,0,54,55.774
209200,2020,Los Angeles,1,Westlake,4,1,1,24,53,34,20,0,0,2,8,0,0,4,0,0,0,0,0,7,8,0,0,0,10.345,13.423,0,0,0,0.089,0.152,0,0,0,0.303,0.529,0,0,0,10.042,12.894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.768,0,0,0,0,35.768
209300,2020,Los Angeles,1,Westlake,4,1,1,24,53,34,0,0,0,3,7,0,0,0,0,0,1,3,0,9,10,1.512,5.322,0,13.301,16.779,0.063,0.129,0,0.114,0.19,0.218,0.494,0,0.389,0.662,1.295,4.828,0,12.911,16.117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.914,0,0,0,0,43.914
209401,2020,Los Angeles,1,Westlake,4,1,1,24,53,34,0,0,0,2,7,0,0,0,0,0,0,5,3,14,10,0,8.87,4.262,20.689,16.779,0,0.216,0.129,0.178,0.19,0,0.823,0.465,0.605,0.661,0,8.047,3.797,20.084,16.117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.602,0,0,0,0,57.602
209402,2020,Los Angeles,1,Westlake,4,1,1,24,53,34,25,0,0,2,23,0,0,0,0,0,0,1,1,1,1,0,1.774,1.421,1.478,1.678,0,0.043,0.043,0.013,0.019,0,0.165,0.155,0.043,0.066,0,1.609,1.266,1.435,1.612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.351,0,0,0,0,29.351
209403,2020,Los Angeles,1,Westlake,4,1,1,24,53,34,0,0,0,1,8,0,0,0,0,0,0,0,0,7,6,0,0,0,10.345,10.067,0,0,0,0.089,0.114,0,0,0,0.303,0.397,0,0,0,10.042,9.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.412,0,0,0,0,28.412
209510,2020,Los Angeles,1,Pico-Union/Westlake,4,1,1,24,53,34,0,0,0,2,19,0,0,0,0,0,4,2,2,13,0,6.048,3.548,2.842,19.212,0,0.251,0.086,0.086,0.165,0,0.871,0.329,0.31,0.562,0,5.179,3.219,2.531,18.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.65,0,0,0,0,50.65
209520,2020,Los Angeles,1,Pico-Union/Westlake,4,1,1,24,53,34,0,0,0,2,22,0,0,0,0,0,0,6,1,13,1,0,10.644,1.421,19.212,1.678,0,0.259,0.043,0.165,0.019,0,0.988,0.155,0.562,0.066,0,9.656,1.266,18.65,1.612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.955,0,0,0,0,54.955
209810,2020,Los Angeles,1,Pico-Union,4,1,1,24,53,34,0,0,0,1,7,0,0,0,0,0,2,0,1,0,2,3.024,0,1.421,0,3.356,0.126,0,0.043,0,0.038,0.435,0,0.155,0,0.132,2.589,0,1.266,0,3.223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.801,0,0,0,0,14.801
209820,2020,Los Angeles,1,Pico-Union,4,1,1,24,53,34,2,0,0,2,1,0,0,0,0,0,0,2,0,0,1,0,3.548,0,0,1.678,0,0.086,0,0,0.019,0,0.329,0,0,0.066,0,3.219,0,0,1.612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.226,0,0,0,0,6.226
210010,2020,Los Angeles,1,Pico-Union/Westlake,4,1,1,24,53,34,0,0,0,2,62,1,2,0,0,0,2,3,2,70,5,3.024,5.322,2.842,103.449,8.389,0.126,0.129,0.086,0.89,0.095,0.435,0.494,0.31,3.026,0.331,2.589,4.828,2.531,100.424,8.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.031,0,0,0,0,187.031
