tract,Year,City,LACity,Community_Name,SPA,SD,CD,DemogSurvCt,YouthSurvCt,SheltHmisCt,ShelterCountAny,StreetCountAny,totStreetSingAdult,totStreetFamHH,totStreetFamMem,totCars,totVans,totCampers,totTents,totMakeshift,totCarPeople,totVanPeople,totCamperPeople,totTentPeople,totMakeshiftPeople,FamCarHH,FamVanHH,FamCamperHH,FamTentHH,FamMakeshiftHH,FamCarPeople,FamVanPeople,FamCamperPeople,FamTentPeople,FamMakeshiftPeople,IndCarPeople,IndVanPeople,IndCamperPeople,IndTentPeople,IndMakeshiftPeople,totESAdultSingAdult,totESAdultFamHH,totESAdultFamMem,totESYouthSingYouth,totESYouthFamHH,totESYouthFamMem,totESYouthUnaccYouth,totTHAdultSingAdult,totTHAdultFamHH,totTHAdultFamMem,totTHYouthSingYouth,totTHYouthFamHH,totTHYouthFamMem,totTHYouthUnaccYouth,totSHAdultSingAdult,totSHAdultFamHH,totSHAdultFamMem,totSHYouthSingYouth,totSHYouthFamHH,totSHYouthFamMem,totSHYouthUnaccYouth,totUnsheltPeople,totESPeople,totTHPeople,totSHPeople,totSheltPeople,totPeople
501300,2019,Whittier,2,Whittier,7,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501400,2019,Whittier,2,Whittier,7,4,0,0,0,0,0,1,9,1,3,4,4,4,0,0,5.351,5.461,7.439,0,0,0,0,0.086,0,0,0,0,0.272,0,0,5.351,5.461,7.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.252,0,0,0,0,30.252
501501,2019,Unincorporated/Whittier,2,Unincorporated North Whittier/Whittier,7,4,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1.338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.338,0,0,0,0,2.338
501503,2019,Whittier,2,Whittier,7,4,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1.701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.701,0,0,0,0,2.701
501504,2019,Whittier,2,Whittier,7,4,0,0,1,0,0,1,13,0,0,4,2,3,0,2,5.351,2.731,5.579,0,3.403,0,0,0.064,0,0,0,0,0.204,0,0,5.351,2.731,5.375,0,3.403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.944,0,0,0,0,31.944
501600,2019,Unincorporated/Whittier,2,Unincorporated North Whittier/Whittier,7,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501700,2019,Whittier,2,Whittier,7,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501802,2019,Whittier,2,Whittier,7,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501803,2019,Whittier,2,Whittier,7,4,0,6,0,0,1,1,20,0,0,0,0,1,0,4,0,0,1.86,0,6.805,0,0,0.021,0,0,0,0,0.068,0,0,0,0,1.792,0,6.805,0,8,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.665,26,0,0,26,54.665
501804,2019,Whittier,2,Whittier,7,4,0,0,2,0,0,1,4,0,0,0,0,0,0,2,0,0,0,0,3.403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.376,0,0,0,0,11.376
501900,2019,Whittier,2,Whittier,7,4,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
502003,2019,Whittier,2,Whittier,7,4,0,0,0,0,0,1,11,0,0,1,0,0,0,11,1.338,0,0,0,18.715,0,0,0,0,0,0,0,0,0,0,1.338,0,0,0,18.715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.052,0,0,0,0,31.052
502004,2019,Whittier,2,Whittier,7,4,0,8,0,0,0,1,2,0,0,1,0,8,0,1,1.338,0,14.879,0,1.701,0,0,0.171,0,0,0,0,0.544,0,0,1.338,0,14.334,0,1.701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.918,0,0,0,0,19.918
502005,2019,Unincorporated/Whittier,2,Unincorporated South Whittier/Whittier,7,4,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,1.701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.701,0,0,0,0,3.701
502100,2019,Unincorporated/Whittier,2,Unincorporated West Whittier/Whittier,7,4,0,0,6,0,1,1,9,0,0,2,6,3,0,3,2.676,8.192,5.579,0,5.104,0,0,0.064,0,0,0,0,0.204,0,0,2.676,8.192,5.375,0,5.104,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.017,28,0,0,28,117.02
502200,2019,Santa Fe Springs/Unincorporated,2,Santa Fe Springs/Unincorporated West Whittier,7,4,0,0,0,0,0,1,0,0,0,35,18,10,0,0,46.823,24.575,18.598,0,0,0,0,0.214,0,0,0,0,0.681,0,0,46.823,24.575,17.918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.996,0,0,0,0,89.996
502301,2019,Santa Fe Springs/Unincorporated,2,Santa Fe Springs/Unincorporated Los Nietos,7,4,0,0,2,0,0,1,8,0,0,1,2,17,0,0,1.338,2.731,31.617,0,0,0,0,0.364,0,0,0,0,1.157,0,0,1.338,2.731,30.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.352,0,0,0,0,54.352
502302,2019,Santa Fe Springs/Unincorporated,2,Santa Fe Springs/Unincorporated Los Nietos,7,4,0,11,0,0,0,1,5,0,0,2,15,9,3,0,2.676,20.479,16.738,3.163,0,0,0,0.193,0,0,0,0,0.612,0,0,2.676,20.479,16.126,3.163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.056,0,0,0,0,48.056
502401,2019,Pico Rivera,2,Pico Rivera,7,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.86,0,0,0,0,0.021,0,0,0,0,0.068,0,0,0,0,1.792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.86,0,0,0,0,1.86
502402,2019,Pico Rivera,2,Pico Rivera,7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.701,0,0,0,0,1.701
