tract_split_base,year,lacity,spa,sd,cd,ca_ssd,ca_sad,us_cd,demogsurvct,shelthmisct,demogsurveyany,sheltercountany,streetcountany,totstreetsingadult,totstreetfamhh,totstreetfammem,totsafeparksingadult,totsafeparkfamhh,totsafeparkfammem,totcars,totvans,totcampers,tottents,totmss,totcarpeople,totvanpeople,totcamperpeople,tottentpeople,totmsspeople,famcarhh,famvanhh,famcamperhh,famtenthh,fammsshh,famcarpeople,famvanpeople,famcamperpeople,famtentpeople,fammsspeople,indcarpeople,indvanpeople,indcamperpeople,indtentpeople,indmsspeople,totesadultsingadult,totesadultfamhh,totesadultfammem,totesyouthsingyouth,totesyouthfamhh,totesyouthfammem,totesyouthunaccyouth,totthadultsingadult,totthadultfamhh,totthadultfammem,totthyouthsingyouth,totthyouthfamhh,totthyouthfammem,totthyouthunaccyouth,totshadultsingadult,totshadultfamhh,totshadultfammem,totshyouthsingyouth,totshyouthfamhh,totshyouthfammem,totshyouthunaccyouth,totunsheltpeople,totespeople,totthpeople,totshpeople,totsheltpeople,totpeople,GEOID
407301,2022,2,3,1,0,22,57,32,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.453,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,1.441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.453,0,0,0,0,2.453,06037407301
407302,2022,2,3,1,0,22,48,32,0,0,0,0,1,1,0,0,0,0,0,0,2,6,0,0,0.0,2.406,11.708,0.0,0.0,0.0,0.037,0.114,0.0,0.0,0.0,0.114,0.465,0.0,0.0,0.0,2.292,11.243,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.114,0,0,0,0,15.114,06037407302
407400,2022,2,3,1,0,22,48,32,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,2.0,06037407400
407501,2022,2,3,1,0,22,48,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,06037407501
407502,2022,2,3,1,0,22,48,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,06037407502
407601,2022,2,3,1,0,22,57,32,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,0,0,0,0,9.0,06037407601
407602,2022,2,3,1,0,22,57,32,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,3.0,06037407602
407701,2022,2,3,1,0,22,57,32,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,2.0,06037407701
407702,2022,2,3,1,0,22,57,32,0,0,0,0,3,5,0,0,0,0,0,1,0,0,0,0,1.336,0.0,0.0,0.0,0.0,0.047,0.0,0.0,0.0,0.0,0.152,0.0,0.0,0.0,0.0,1.184,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.336,0,0,0,0,6.336,06037407702
407801,2022,2,3,1,0,22,48,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,06037407801
